material,class,tc_K,sg_number,point_group,candidate,path,note
C6Sr,Intercalated,1.65,194,D6h,YES,BCS bulk (S1),
C6Yb,Intercalated,6.5,194,D6h,YES,BCS bulk (S1),
Sr2RuO4,Compound,0.93,139,D4h,NO,BCS bulk (S1),"exclusion prediction (D4h, no C3)"
C60Cs2Rb,Compound,33,225,Oh,YES,BCS bulk (S1),
C60K3,Compound,19.8,204,Th,YES,BCS bulk (S1),
C60RbX,Compound,28,225,Oh,YES,BCS bulk (S1),
C60Cs3,Compound,38,225,Oh,YES,BCS bulk (S1),
FeB4,Compound,2.9,58,D2h,NO,BCS bulk (S1),
InN,Compound,3,186,C6v,YES,BCS bulk (S1),
In2O3,Compound,3.3,206,Th,YES,BCS bulk (S1),
LaB6,Compound,0.45,221,Oh,YES,BCS bulk (S1),
MgB2,Compound,39,191,D6h,YES,BCS bulk (S1),
Nb3Al,Compound,18,223,Oh,YES,BCS bulk (S1),
NbC1-xNx,Compound,17.8,225,Oh,YES,BCS bulk (S1),
Nb3Ge,Compound,23.2,223,Oh,YES,BCS bulk (S1),
NbO,Compound,1.38,221,Oh,YES,BCS bulk (S1),
NbN,Compound,16,225,Oh,YES,BCS bulk (S1),
Nb3Sn,Compound,18.3,223,Oh,YES,BCS bulk (S1),
NbTi,Compound,10,229,Oh,YES,BCS bulk (S1),
SiC:B,Compound,1.4,216,Td,YES,BCS bulk (S1),
SiC:Al,Compound,1.5,216,Td,YES,BCS bulk (S1),
TiN,Compound,5.6,225,Oh,YES,BCS bulk (S1),
V3Si,Compound,17,223,Oh,YES,BCS bulk (S1),
YB6,Compound,8.4,221,Oh,YES,BCS bulk (S1),
ZrN,Compound,10,225,Oh,YES,BCS bulk (S1),
ZrB12,Compound,6.0,225,Oh,YES,BCS bulk (S1),
UTe2,Compound,2.1,71,D2h,NO,BCS bulk (S1),"exclusion prediction (D2h, no C3); under experimental debate"
CuBa0.15La1.85O4,Cuprate,52.5,139,D4h,NO,"d-wave, non-topological (S2)",
YBCO,Cuprate,95,47,D2h,NO,"d-wave, non-topological (S2)",
EuBCO,Cuprate,93,47,D2h,NO,"d-wave, non-topological (S2)",
GdBCO,Cuprate,91,47,D2h,NO,"d-wave, non-topological (S2)",
BSCCO,Cuprate,104,64,D2h,NO,"d-wave, non-topological (S2)",
HBCCO,Cuprate,135,123,D4h,NO,"d-wave, non-topological (S2)",
"SmFeAs(O,F)",Iron-based,55,129,D4h,NO,"s+- spin fluctuation, non-topological (S1)",
"CeFeAs(O,F)",Iron-based,41,129,D4h,NO,"s+- spin fluctuation, non-topological (S1)",
"LaFeAs(O,F)",Iron-based,26,129,D4h,NO,"s+- spin fluctuation, non-topological (S1)",
LaFeSiH,Iron-based,11,129,D4h,NO,"s+- spin fluctuation, non-topological (S1)",
LaFePO,Iron-based,4,129,D4h,NO,"s+- spin fluctuation, non-topological (S1)",
FeSe:SrTiO3,Iron-based,80,129,D4h,NO,"s+- spin fluctuation, non-topological (S1)",
"(Ba,K)Fe2As2",Iron-based,38,139,D4h,NO,"s+- spin fluctuation, non-topological (S1)",
NaFeAs,Iron-based,20,129,D4h,NO,"s+- spin fluctuation, non-topological (S1)",
La3Ni2O7,Oxonickelate,80,63,D2h,NO,non-topological (S1),
H3S,Polyhydride,203,229,Oh,YES,BCS bulk under pressure (S1),
LaH10,Polyhydride,250,225,Oh,YES,BCS bulk under pressure (S1),
CaH6,Polyhydride,215,229,Oh,YES,BCS bulk under pressure (S1),
